REG	minecraft:item	1506
E	minecraft:item	0	minecraft:air
E	minecraft:item	1	minecraft:stone
E	minecraft:item	2	minecraft:granite
E	minecraft:item	3	minecraft:polished_granite
E	minecraft:item	4	minecraft:diorite
E	minecraft:item	5	minecraft:polished_diorite
E	minecraft:item	6	minecraft:andesite
E	minecraft:item	7	minecraft:polished_andesite
E	minecraft:item	8	minecraft:deepslate
E	minecraft:item	9	minecraft:cobbled_deepslate
E	minecraft:item	10	minecraft:polished_deepslate
E	minecraft:item	11	minecraft:calcite
E	minecraft:item	12	minecraft:tuff
E	minecraft:item	13	minecraft:tuff_slab
E	minecraft:item	14	minecraft:tuff_stairs
E	minecraft:item	15	minecraft:tuff_wall
E	minecraft:item	16	minecraft:chiseled_tuff
E	minecraft:item	17	minecraft:polished_tuff
E	minecraft:item	18	minecraft:polished_tuff_slab
E	minecraft:item	19	minecraft:polished_tuff_stairs
E	minecraft:item	20	minecraft:polished_tuff_wall
E	minecraft:item	21	minecraft:tuff_bricks
E	minecraft:item	22	minecraft:tuff_brick_slab
E	minecraft:item	23	minecraft:tuff_brick_stairs
E	minecraft:item	24	minecraft:tuff_brick_wall
E	minecraft:item	25	minecraft:chiseled_tuff_bricks
E	minecraft:item	26	minecraft:dripstone_block
E	minecraft:item	27	minecraft:grass_block
E	minecraft:item	28	minecraft:dirt
E	minecraft:item	29	minecraft:coarse_dirt
E	minecraft:item	30	minecraft:podzol
E	minecraft:item	31	minecraft:rooted_dirt
E	minecraft:item	32	minecraft:mud
E	minecraft:item	33	minecraft:crimson_nylium
E	minecraft:item	34	minecraft:warped_nylium
E	minecraft:item	35	minecraft:cobblestone
E	minecraft:item	36	minecraft:oak_planks
E	minecraft:item	37	minecraft:spruce_planks
E	minecraft:item	38	minecraft:birch_planks
E	minecraft:item	39	minecraft:jungle_planks
E	minecraft:item	40	minecraft:acacia_planks
E	minecraft:item	41	minecraft:cherry_planks
E	minecraft:item	42	minecraft:dark_oak_planks
E	minecraft:item	43	minecraft:pale_oak_planks
E	minecraft:item	44	minecraft:mangrove_planks
E	minecraft:item	45	minecraft:bamboo_planks
E	minecraft:item	46	minecraft:crimson_planks
E	minecraft:item	47	minecraft:warped_planks
E	minecraft:item	48	minecraft:bamboo_mosaic
E	minecraft:item	49	minecraft:oak_sapling
E	minecraft:item	50	minecraft:spruce_sapling
E	minecraft:item	51	minecraft:birch_sapling
E	minecraft:item	52	minecraft:jungle_sapling
E	minecraft:item	53	minecraft:acacia_sapling
E	minecraft:item	54	minecraft:cherry_sapling
E	minecraft:item	55	minecraft:dark_oak_sapling
E	minecraft:item	56	minecraft:pale_oak_sapling
E	minecraft:item	57	minecraft:mangrove_propagule
E	minecraft:item	58	minecraft:bedrock
E	minecraft:item	59	minecraft:sand
E	minecraft:item	60	minecraft:suspicious_sand
E	minecraft:item	61	minecraft:suspicious_gravel
E	minecraft:item	62	minecraft:red_sand
E	minecraft:item	63	minecraft:gravel
E	minecraft:item	64	minecraft:coal_ore
E	minecraft:item	65	minecraft:deepslate_coal_ore
E	minecraft:item	66	minecraft:iron_ore
E	minecraft:item	67	minecraft:deepslate_iron_ore
E	minecraft:item	68	minecraft:copper_ore
E	minecraft:item	69	minecraft:deepslate_copper_ore
E	minecraft:item	70	minecraft:gold_ore
E	minecraft:item	71	minecraft:deepslate_gold_ore
E	minecraft:item	72	minecraft:redstone_ore
E	minecraft:item	73	minecraft:deepslate_redstone_ore
E	minecraft:item	74	minecraft:emerald_ore
E	minecraft:item	75	minecraft:deepslate_emerald_ore
E	minecraft:item	76	minecraft:lapis_ore
E	minecraft:item	77	minecraft:deepslate_lapis_ore
E	minecraft:item	78	minecraft:diamond_ore
E	minecraft:item	79	minecraft:deepslate_diamond_ore
E	minecraft:item	80	minecraft:nether_gold_ore
E	minecraft:item	81	minecraft:nether_quartz_ore
E	minecraft:item	82	minecraft:ancient_debris
E	minecraft:item	83	minecraft:coal_block
E	minecraft:item	84	minecraft:raw_iron_block
E	minecraft:item	85	minecraft:raw_copper_block
E	minecraft:item	86	minecraft:raw_gold_block
E	minecraft:item	87	minecraft:heavy_core
E	minecraft:item	88	minecraft:amethyst_block
E	minecraft:item	89	minecraft:budding_amethyst
E	minecraft:item	90	minecraft:iron_block
E	minecraft:item	91	minecraft:copper_block
E	minecraft:item	92	minecraft:gold_block
E	minecraft:item	93	minecraft:diamond_block
E	minecraft:item	94	minecraft:netherite_block
E	minecraft:item	95	minecraft:exposed_copper
E	minecraft:item	96	minecraft:weathered_copper
E	minecraft:item	97	minecraft:oxidized_copper
E	minecraft:item	98	minecraft:chiseled_copper
E	minecraft:item	99	minecraft:exposed_chiseled_copper
E	minecraft:item	100	minecraft:weathered_chiseled_copper
E	minecraft:item	101	minecraft:oxidized_chiseled_copper
E	minecraft:item	102	minecraft:cut_copper
E	minecraft:item	103	minecraft:exposed_cut_copper
E	minecraft:item	104	minecraft:weathered_cut_copper
E	minecraft:item	105	minecraft:oxidized_cut_copper
E	minecraft:item	106	minecraft:cut_copper_stairs
